Requirement ID,Requirement Summary,Priority,Source Document,Screen ID,Phase,Epic,Developer,QA Test ID,Status,Notes
CASE-011,Change priority,M,02_FRS_v1.1,W-002,10,WEB-CASE,Next,QA-CASE-011,Baseline,
CASE-012,Add internal note,M,02_FRS_v1.1,W-002,10,WEB-CASE,Next,QA-CASE-012,Baseline,
CASE-013,Record contact attempt,M,02_FRS_v1.1,W-002,10,WEB-CASE,Next,QA-CASE-013,Baseline,
CASE-015,Record investigation finding,M,02_FRS_v1.1,W-002,10,WEB-CASE,Next,QA-CASE-015,Baseline,
CASE-016,Record action taken,M,02_FRS_v1.1,W-002,10,WEB-CASE,Next,QA-CASE-016,Baseline,
CASE-017,Escalate case,M,02_FRS_v1.1,W-002,10,WEB-CASE,Next,QA-CASE-017,Baseline,
CASE-018,Propose resolution,M,02_FRS_v1.1,W-002,10,WEB-CASE,Next,QA-CASE-018,Baseline,
CASE-019,Mark resolved,M,02_FRS_v1.1,W-002,10,WEB-CASE,Next,QA-CASE-019,Baseline,
CASE-020,Close case with reason,M,02_FRS_v1.1,W-002,10,WEB-CASE,Next,QA-CASE-020,Baseline,
CASE-022,Confirmation modal for consequential actions,M,02_FRS_v1.1,W-002,10,WEB-CASE,Next,QA-CASE-022,Baseline,
ANL-001,Analytics from dataset not hard-coded totals,M,02_FRS_v1.1,W-003,11,WEB-ANALYTICS,Next,QA-ANL-001,Baseline,
ANL-002,Category trends,M,02_FRS_v1.1,W-003,11,WEB-ANALYTICS,Next,QA-ANL-002,Baseline,
ANL-004,Priority distribution,M,02_FRS_v1.1,W-003,11,WEB-ANALYTICS,Next,QA-ANL-004,Baseline,
DEM-001,Hidden Demo Control Panel,M,02_FRS_v1.1,W-004|M-036,12,DEMO-ORCHESTRATION,Shared,QA-DEM-001,Baseline,
DEM-002,Demo reset data,M,02_FRS_v1.1,W-004,12,DEMO-ORCHESTRATION,Shared,QA-DEM-002,Baseline,
DEM-003,Load golden scenario,M,02_FRS_v1.1,W-004,12,DEMO-ORCHESTRATION,Shared,QA-DEM-003,Baseline,
DEM-006,Inject matching complaint into portal,M,02_FRS_v1.1,W-004,12,DEMO-ORCHESTRATION,Shared,QA-DEM-006,Baseline,Not live sync; DEC-016
GLB-001,Loading empty error states on primary screens,M,02_FRS_v1.1,All primary,13,QA-ACCESSIBILITY,Shared,QA-GLB-001,Baseline,Implemented per screen from Phase 04 onward
GLB-002,Status not colour-only,M,02_FRS_v1.1,All primary,01,DESIGN-SYSTEM,Shared,QA-GLB-002,Baseline,
GLB-003,Red reserved for danger/destructive,M,02_FRS_v1.1,All primary,01,DESIGN-SYSTEM,Shared,QA-GLB-003,Baseline,
GLB-004,Shared design tokens,M,02_FRS_v1.1,All primary,01,DESIGN-SYSTEM,Shared,QA-GLB-004,Baseline,Code in Phase 02
GLB-005,Components consume services not raw dummy files,M,02_FRS_v1.1,All primary,03,DOMAIN-DATA,Shared,QA-GLB-005,Baseline,
GLB-006,TypeScript strict mode,M,02_FRS_v1.1,n/a,02,FOUNDATION,Shared,QA-GLB-006,Baseline,
GLB-007,Major web actions keyboard accessible,M,02_FRS_v1.1,W-001|W-002|W-003,09,QA-ACCESSIBILITY,Next,QA-GLB-007,Baseline,Verified Phase 13
GLB-008,Mobile large touch targets,M,02_FRS_v1.1,All mobile,04,MOBILE-FOUNDATION,RN,QA-GLB-008,Baseline,Rules in doc 06
GLB-009,Neutral/cream/white dominate content areas,M,02_FRS_v1.1,All primary,01,DESIGN-SYSTEM,Shared,QA-GLB-009,Baseline,doc 06 v1.1
GLB-010,PUWF green is institutional anchor not default mobile bg,M,02_FRS_v1.1,All mobile,01,DESIGN-SYSTEM,Shared,QA-GLB-010,Baseline,
GLB-011,Voice/AI uses FOS Teal,M,02_FRS_v1.1,M-014|M-022|W-002,01,DESIGN-SYSTEM,Shared,QA-GLB-011,Baseline,
GLB-012,KPI cards remain white/neutral,M,02_FRS_v1.1,W-001,01,DESIGN-SYSTEM,Shared,QA-GLB-012,Baseline,
GLB-013,Charts use mixed palette not green-only,M,02_FRS_v1.1,W-001|W-003,01,DESIGN-SYSTEM,Shared,QA-GLB-013,Baseline,
GLB-014,Gold/orange are secondary accents not primary CTA,M,02_FRS_v1.1,All primary,01,DESIGN-SYSTEM,Shared,QA-GLB-014,Baseline,
